codigo,ano,mes,ym,profundidade,nivel_piezo,rr,eto,caudal,rr_lag1,rr_lag2,eto_lag1,eto_lag2,caudal_lag1,caudal_lag2
365/233,2000,5,2000-05-01,,,91.9000013,4.693225806451613,356.5016129032258,142.9000006,22.3000004,2.8436666666666666,3.228709677419355,144.69500000000002,66.97967741935483
365/233,2000,6,2000-06-01,,,0.0,6.1129999999999995,78.21866666666666,91.9000013,142.9000006,4.693225806451613,2.8436666666666666,356.5016129032258,144.69500000000002
365/233,2000,7,2000-07-01,,,7.5,6.301612903225807,82.85612903225807,0.0,91.9000013,6.1129999999999995,4.693225806451613,78.21866666666666,356.5016129032258
365/233,2000,8,2000-08-01,,,3.2,5.684193548387097,132.34032258064516,7.5,0.0,6.301612903225807,6.1129999999999995,82.85612903225807,78.21866666666666
365/233,2000,9,2000-09-01,,,5.40000004,4.432666666666666,410.36,3.2,7.5,5.684193548387097,6.301612903225807,132.34032258064516,82.85612903225807
365/233,2000,10,2000-10-01,,,50.0,2.577741935483871,220.84451612903223,5.40000004,3.2,4.432666666666666,5.684193548387097,410.36,132.34032258064516
365/233,2000,11,2000-11-01,,,158.2000057,1.362,167.375,50.0,5.40000004,2.577741935483871,4.432666666666666,220.84451612903223,410.36
365/233,2000,12,2000-12-01,,,227.1000018,0.9922580645161292,1447.9051612903224,158.2000057,50.0,1.362,2.577741935483871,167.375,220.84451612903223
365/233,2001,1,2001-01-01,,,158.4000013,1.1735483870967742,2913.79,227.1000018,158.2000057,0.9922580645161292,1.362,1447.9051612903224,167.375
365/233,2001,2,2001-02-01,,,61.7000004,1.821785714285714,1804.553571428571,158.4000013,227.1000018,1.1735483870967742,0.9922580645161292,2913.79,1447.9051612903224
365/233,2001,3,2001-03-01,,,132.4000021,2.3725806451612903,1893.2290322580643,61.7000004,158.4000013,1.821785714285714,1.1735483870967742,1804.553571428571,2913.79
365/233,2001,4,2001-04-01,,,21.4000001,3.7766666666666664,441.2176666666667,132.4000021,61.7000004,2.3725806451612903,1.821785714285714,1893.2290322580643,1804.553571428571
365/233,2001,5,2001-05-01,,,35.500001999999995,5.25516129032258,224.12451612903223,21.4000001,132.4000021,3.7766666666666664,2.3725806451612903,441.2176666666667,1893.2290322580643
365/233,2001,6,2001-06-01,,,13.2,6.295333333333334,174.23966666666666,35.500001999999995,21.4000001,5.25516129032258,3.7766666666666664,224.12451612903223,441.2176666666667
365/233,2001,7,2001-07-01,,,4.7000003,5.574838709677419,99.31483870967745,13.2,35.500001999999995,6.295333333333334,5.25516129032258,174.23966666666666,224.12451612903223
365/233,2001,8,2001-08-01,,,3.3,5.549354838709678,193.82548387096776,4.7000003,13.2,5.574838709677419,6.295333333333334,99.31483870967745,174.23966666666666
365/233,2001,9,2001-09-01,,,23.799999999999997,4.333333333333333,154.03566666666666,3.3,4.7000003,5.549354838709678,5.574838709677419,193.82548387096776,99.31483870967745
365/233,2001,10,2001-10-01,,,131.0000013,2.3193548387096774,,23.799999999999997,3.3,4.333333333333333,5.549354838709678,154.03566666666666,193.82548387096776
365/233,2001,11,2001-11-01,,,19.1,1.5426666666666666,130.31333333333333,131.0000013,23.799999999999997,2.3193548387096774,4.333333333333333,,154.03566666666666
365/233,2001,12,2001-12-01,,,11.2000001,1.0706451612903225,150.8283870967742,19.1,131.0000013,1.5426666666666666,2.3193548387096774,130.31333333333333,
365/233,2002,1,2002-01-01,,,103.200001,1.3396774193548386,135.92838709677417,11.2000001,19.1,1.0706451612903225,1.5426666666666666,150.8283870967742,130.31333333333333
365/233,2002,2,2002-02-01,,,28.4,1.9803571428571427,76.5175,103.200001,11.2000001,1.3396774193548386,1.0706451612903225,135.92838709677417,150.8283870967742
365/233,2002,3,2002-03-01,,,85.4000023,2.958387096774193,245.33967741935484,28.4,103.200001,1.9803571428571427,1.3396774193548386,76.5175,135.92838709677417
365/233,2002,4,2002-04-01,,,38.0,3.963,158.975,85.4000023,28.4,2.958387096774193,1.9803571428571427,245.33967741935484,76.5175
365/233,2002,5,2002-05-01,,,14.7000003,4.754838709677419,85.35451612903225,38.0,85.4000023,3.963,2.958387096774193,158.975,245.33967741935484
365/233,2002,6,2002-06-01,,,2.5,5.837000000000001,122.589,14.7000003,38.0,4.754838709677419,3.963,85.35451612903225,158.975
365/233,2002,7,2002-07-01,,,0.0,6.0845161290322585,82.33387096774193,2.5,14.7000003,5.837000000000001,4.754838709677419,122.589,85.35451612903225
365/233,2002,8,2002-08-01,,,0.0,5.570967741935483,69.56387096774193,0.0,2.5,6.0845161290322585,5.837000000000001,82.33387096774193,122.589
365/233,2002,9,2002-09-01,,,64.60000064,3.463333333333334,63.498333333333335,0.0,0.0,5.570967741935483,6.0845161290322585,69.56387096774193,82.33387096774193
365/233,2002,10,2002-10-01,,,72.9000013,2.305483870967742,63.92161290322581,64.60000064,0.0,3.463333333333334,5.570967741935483,63.498333333333335,69.56387096774193
365/233,2002,11,2002-11-01,,,141.6000003,1.4223333333333334,188.95066666666668,72.9000013,64.60000064,2.305483870967742,3.463333333333334,63.92161290322581,63.498333333333335
365/233,2002,12,2002-12-01,,,121.3000013,1.0996774193548389,906.6035483870968,141.6000003,72.9000013,1.4223333333333334,2.305483870967742,188.95066666666668,63.92161290322581
365/233,2003,1,2003-01-01,,,86.1000011,1.2751612903225806,1357.2474193548387,121.3000013,141.6000003,1.0996774193548389,1.4223333333333334,906.6035483870968,188.95066666666668
365/233,2003,2,2003-02-01,,,101.2000014,1.6914285714285715,650.0296428571429,86.1000011,121.3000013,1.2751612903225806,1.0996774193548389,1357.2474193548387,906.6035483870968
365/233,2003,3,2003-03-01,,,73.6,2.8132258064516127,630.12,101.2000014,86.1000011,1.6914285714285715,1.2751612903225806,650.0296428571429,1357.2474193548387
365/233,2003,4,2003-04-01,,,69.7000001,3.536666666666666,469.5293333333333,73.6,101.2000014,2.8132258064516127,1.6914285714285715,630.12,650.0296428571429
365/233,2003,5,2003-05-01,,,1.5,5.4874193548387105,208.8858064516129,69.7000001,73.6,3.536666666666666,2.8132258064516127,469.5293333333333,630.12
365/233,2003,6,2003-06-01,,,3.4,6.157,158.13366666666667,1.5,69.7000001,5.4874193548387105,3.536666666666666,208.8858064516129,469.5293333333333
365/233,2003,7,2003-07-01,,,1.9,6.1651612903225805,114.2158064516129,3.4,1.5,6.157,5.4874193548387105,158.13366666666667,208.8858064516129
365/233,2003,8,2003-08-01,,,10.7000001,5.979032258064516,103.45290322580644,1.9,3.4,6.1651612903225805,6.157,114.2158064516129,158.13366666666667
365/233,2003,9,2003-09-01,,,28.400001000000003,4.5183333333333335,164.15633333333332,10.7000001,1.9,5.979032258064516,6.1651612903225805,103.45290322580644,114.2158064516129
365/233,2003,10,2003-10-01,,,144.800003,2.385806451612903,179.22516129032255,28.400001000000003,10.7000001,4.5183333333333335,5.979032258064516,164.15633333333332,103.45290322580644
365/233,2003,11,2003-11-01,,,120.4000015,1.3936666666666668,512.9306666666666,144.800003,28.400001000000003,2.385806451612903,4.5183333333333335,179.22516129032255,164.15633333333332
365/233,2003,12,2003-12-01,,,59.4000015,1.110322580645161,958.9690322580644,120.4000015,144.800003,1.3936666666666668,2.385806451612903,512.9306666666666,179.22516129032255
365/233,2004,1,2004-01-01,,,68.6000012,1.295483870967742,245.8132258064516,59.4000015,120.4000015,1.110322580645161,1.3936666666666668,958.9690322580644,512.9306666666666
365/233,2004,2,2004-02-01,,,52.9000006,1.827586206896552,481.3206896551724,68.6000012,59.4000015,1.295483870967742,1.110322580645161,245.8132258064516,958.9690322580644
365/233,2004,3,2004-03-01,,,38.6000003,2.7529032258064516,278.14580645161294,52.9000006,68.6000012,1.827586206896552,1.295483870967742,481.3206896551724,245.8132258064516
365/233,2004,4,2004-04-01,,,23.8000003,4.078666666666667,159.83033333333333,38.6000003,52.9000006,2.7529032258064516,1.827586206896552,278.14580645161294,481.3206896551724
365/233,2004,5,2004-05-01,,,14.0000002,5.022258064516129,156.22096774193548,23.8000003,38.6000003,4.078666666666667,2.7529032258064516,159.83033333333333,278.14580645161294
365/233,2004,6,2004-06-01,,,0.0,6.717,97.09733333333334,14.0000002,23.8000003,5.022258064516129,4.078666666666667,156.22096774193548,159.83033333333333
365/233,2004,7,2004-07-01,,,0.0,6.56,88.82354838709678,0.0,14.0000002,6.717,5.022258064516129,97.09733333333334,156.22096774193548
365/233,2004,8,2004-08-01,,,18.70000014,5.2135483870967745,91.5941935483871,0.0,0.0,6.56,6.717,88.82354838709678,97.09733333333334
365/233,2004,9,2004-09-01,,,29.7,4.512333333333333,109.36966666666667,18.70000014,0.0,5.2135483870967745,6.56,91.5941935483871,88.82354838709678
365/233,2004,10,2004-10-01,,,142.9000014,2.47,136.30548387096775,29.7,18.70000014,4.512333333333333,5.2135483870967745,109.36966666666667,91.5941935483871
365/233,2004,11,2004-11-01,,,39.4000003,1.6153333333333333,191.3622222222222,142.9000014,29.7,2.47,4.512333333333333,136.30548387096775,109.36966666666667
365/233,2004,12,2004-12-01,,,9.0,1.1958064516129032,261.97125,39.4000003,142.9000014,1.6153333333333333,2.47,191.3622222222222,136.30548387096775
365/233,2005,1,2005-01-01,,,0.0,1.4570967741935483,65.58576923076923,9.0,39.4000003,1.1958064516129032,1.6153333333333333,261.97125,191.3622222222222
365/233,2005,2,2005-02-01,,,5.3,1.949642857142857,44.97035714285715,0.0,9.0,1.4570967741935483,1.1958064516129032,65.58576923076923,261.97125
365/233,2005,3,2005-03-01,,,46.0000003,2.9741935483870967,75.99096774193549,5.3,0.0,1.949642857142857,1.4570967741935483,44.97035714285715,65.58576923076923
365/233,2005,4,2005-04-01,,,24.8000001,4.016333333333334,33.477333333333334,46.0000003,5.3,2.9741935483870967,1.949642857142857,75.99096774193549,44.97035714285715
365/233,2005,5,2005-05-01,,,15.4000001,5.271290322580645,23.065333333333335,24.8000001,46.0000003,4.016333333333334,2.9741935483870967,33.477333333333334,75.99096774193549
365/233,2005,6,2005-06-01,,,0.0,6.695666666666667,,15.4000001,24.8000001,5.271290322580645,4.016333333333334,23.065333333333335,33.477333333333334
365/233,2005,7,2005-07-01,,,5.9,6.365161290322581,0.9166666666666666,0.0,15.4000001,6.695666666666667,5.271290322580645,,23.065333333333335
365/233,2005,8,2005-08-01,,,2.0,6.323548387096774,27.462903225806453,5.9,0.0,6.365161290322581,6.695666666666667,0.9166666666666666,
365/233,2005,9,2005-09-01,,,5.4,4.599666666666667,31.61652173913043,2.0,5.9,6.323548387096774,6.365161290322581,27.462903225806453,0.9166666666666666
365/233,2005,10,2005-10-01,,,140.4000011,2.562258064516129,,5.4,2.0,4.599666666666667,6.323548387096774,31.61652173913043,27.462903225806453
365/233,2005,11,2005-11-01,,,111.0000013,1.397333333333333,83.22,140.4000011,5.4,2.562258064516129,4.599666666666667,,31.61652173913043
365/233,2005,12,2005-12-01,,,45.1,1.1674193548387095,75.13666666666667,111.0000013,140.4000011,1.397333333333333,2.562258064516129,83.22,
365/233,2006,1,2006-01-01,,,50.3000003,1.275806451612903,17.456666666666667,45.1,111.0000013,1.1674193548387095,1.397333333333333,75.13666666666667,83.22
365/233,2006,2,2006-02-01,,,65.1,1.8307142857142855,79.73461538461538,50.3000003,45.1,1.275806451612903,1.1674193548387095,17.456666666666667,75.13666666666667
365/233,2006,3,2006-03-01,,,109.800001,2.5780645161290323,198.92903225806452,65.1,50.3000003,1.8307142857142855,1.275806451612903,79.73461538461538,17.456666666666667
365/233,2006,4,2006-04-01,,,62.800000299999994,3.911666666666666,170.051,109.800001,65.1,2.5780645161290323,1.8307142857142855,198.92903225806452,79.73461538461538
365/233,2006,5,2006-05-01,,,0.0,5.590322580645162,126.54064516129031,62.800000299999994,109.800001,3.911666666666666,2.5780645161290323,170.051,198.92903225806452
365/233,2006,6,2006-06-01,,,52.1,5.875666666666667,93.23833333333332,0.0,62.800000299999994,5.590322580645162,3.911666666666666,126.54064516129031,170.051
365/233,2006,7,2006-07-01,,,0.0,6.5522580645161295,120.88322580645162,52.1,0.0,5.875666666666667,5.590322580645162,93.23833333333332,126.54064516129031
365/233,2006,8,2006-08-01,,,6.2000001,6.336451612903226,105.47,0.0,52.1,6.5522580645161295,5.875666666666667,120.88322580645162,93.23833333333332
365/233,2006,9,2006-09-01,,,63.1000006,4.383333333333334,45.233333333333334,6.2000001,0.0,6.336451612903226,6.5522580645161295,105.47,120.88322580645162
365/233,2006,10,2006-10-01,,,203.9000026,2.391935483870968,273.491935483871,63.1000006,6.2000001,4.383333333333334,6.336451612903226,45.233333333333334,105.47
365/233,2006,11,2006-11-01,,,209.20000354,1.4246666666666667,1450.5243333333335,203.9000026,63.1000006,2.391935483870968,4.383333333333334,273.491935483871,45.233333333333334
365/233,2006,12,2006-12-01,,,46.50000004,1.1325806451612903,1228.945806451613,209.20000354,203.9000026,1.4246666666666667,2.391935483870968,1450.5243333333335,273.491935483871
365/233,2007,1,2007-01-01,,,36.3000001,1.2696774193548388,284.7335483870968,46.50000004,209.20000354,1.1325806451612903,1.4246666666666667,1228.945806451613,1450.5243333333335
365/233,2007,2,2007-02-01,,,80.2000011,1.815357142857143,478.54535714285714,36.3000001,46.50000004,1.2696774193548388,1.1325806451612903,284.7335483870968,1228.945806451613
365/233,2007,3,2007-03-01,,,10.8000001,2.80741935483871,337.6190322580645,80.2000011,36.3000001,1.815357142857143,1.2696774193548388,478.54535714285714,284.7335483870968
365/233,2007,4,2007-04-01,,,30.5,3.957333333333333,79.92766666666667,10.8000001,80.2000011,2.80741935483871,1.815357142857143,337.6190322580645,478.54535714285714
365/233,2007,5,2007-05-01,,,36.0,4.901290322580645,93.62774193548388,30.5,10.8000001,3.957333333333333,2.80741935483871,79.92766666666667,337.6190322580645
365/233,2007,6,2007-06-01,,,42.100000099999995,5.473333333333334,126.242,36.0,30.5,4.901290322580645,3.957333333333333,93.62774193548388,79.92766666666667
365/233,2007,7,2007-07-01,,,3.4,6.235806451612904,383.1809677419355,42.100000099999995,36.0,5.473333333333334,4.901290322580645,126.242,93.62774193548388
365/233,2007,8,2007-08-01,,,2.9,5.660967741935484,178.1690322580645,3.4,42.100000099999995,6.235806451612904,5.473333333333334,383.1809677419355,126.242
365/233,2007,9,2007-09-01,,,50.9,4.432,108.711,2.9,3.4,5.660967741935484,6.235806451612904,178.1690322580645,383.1809677419355
365/233,2007,10,2007-10-01,,,4.4000002,2.8696774193548387,305.8693548387097,50.9,2.9,4.432,5.660967741935484,108.711,178.1690322580645
365/233,2007,11,2007-11-01,,,41.0000002,1.86,144.624,4.4000002,50.9,2.8696774193548387,4.432,305.8693548387097,108.711
